reg_id,user_id,game_id,timestamp
1,4,3,2026-09-10 22:00:20
2,9,3,2026-09-11 21:49:11
3,10,5,2026-09-11 21:51:34
4,4,4,2026-09-12 11:45:33
5,6,2,2026-09-12 11:51:51
6,14,11,2026-09-14 19:15:51
7,12,5,2026-09-14 19:21:37
8,17,12,2026-09-15 19:14:29
9,10,12,2026-09-16 20:40:16
10,13,11,2026-09-16 20:41:06
11,7,8,2026-09-16 20:41:51
12,20,14,2026-09-16 20:49:14
13,23,15,2026-09-19 11:44:19
14,22,15,2026-09-19 11:45:03
15,24,9,2026-09-19 11:49:09
16,25,17,2026-09-22 15:56:22
17,28,9,2026-09-22 15:57:22
18,26,11,2026-09-22 15:58:30
